,link,title,description
10,/news/2020-04-08/wa-police-rescue-boy-trapped-in-burning-south-hedland-home/12134542,"'Liam, where are you?': Dramatic footage shows police rush into burning house to save 8yo boy","WA Police officers can be seen pulling a limp, eight-year-old boy from a burning home in the Pilbara, but the child makes a full recovery."
11,/news/2020-04-08/working-from-home-coronavirus-shutdowns-tax-time-deductions/12132712,Australians working from home could be worse off using 80c per hour tax 'shortcut',"Those who have been working from home due to coronavirus are being warned to be cautious about using a new ""shortcut"" to do their tax return as it could result in lower deductions."
12,"/news/2020-04-08/coronavirus-could-cause-240,000-deaths-in-indonesia/12131778",Opinion: The Indonesian Government has a mess on its hands — one largely of its own making,"Almost no-one thinks Indonesia is handling coronavirus well and many experts fear the country is now on the brink of a health disaster, write Tim Lindsey and Tim Mann."
13,/news/2020-04-08/coronavirus-travel-cancellations-gym-membership-refunds/12132710,Had your holiday cancelled or 'freeze' fees added to your gym membership? Here's what to do,The consumer watchdog's been inundated with complaints from people about everything from flight cancellations to new fees being charged by gyms and supermarket price hikes. We take a look at the latest advice and how it might affect you.
14,/news/2020-04-08/coronavirus-update-australia-johnson-trump-jobkeeper-death-toll/12131018,'The needs are increasingly urgent': Twitter CEO donates almost a third of wealth to fight COVID-19,"Twitter founder Jack Dorsey donates $US1 billion to fund global coronavirus relief and other endeavours, Donald Trump threatens to withhold funding for the World Health Organisation, and folk singer John Prine dies from coronavirus complications."
15,/news/2020-04-08/gp-office-manager-who-became-sanitiser-supplier-to-thousands/12128906,Meet the frustrated GP office managers who took the sanitiser shortage into their own hands,"In two months, Anna Davidson has gone from being a frustrated GP office manager who couldn't get her hands on any sanitiser, to the mastermind behind a nationwide supply of the product."
16,/news/2020-04-08/pink-supermoon-to-break-coronavirus-monotony/12133320,Pink supermoon just what the coronavirus lockdown doctor ordered,"A so-called pink supermoon will be in southern hemisphere skies tonight, right in time to break that lockdown monotony and give you an excuse to step outside — at a socially safe distance, of course."
17,/triplej/programs/hack/coronavirus-covid19-how-australia-is-paying-for-welfare/12133292,How come Australia suddenly has billions of dollars to pay for welfare?,"If you're in your 20s, paying off the national debt incurred through coronavirus welfare could define a large part of your life. Or it may not. The pandemic is overturning long-standing economic theories, including the idea that responsible government means reducing the national debt."
18,/news/2020-04-08/coronavirus-jk-rowling-breathing-technique-debunked/12134128,Analysis: JK Rowling's coronavirus 'cure' has been debunked — it could make things worse,"Harry Potter author JK Rowling says a breathing technique has helped her coronavirus-like respiratory symptoms, a claim that has been widely reported and shared on social media. But does it stand up?"
19,/news/2020-04-08/coronavirus-roger-federer-gives-tennis-lesson-on-social-media/12133464,Roger Federer gives social media tennis lesson while self-isolating during coronavirus pandemic,"Professional tennis is on hold because of the coronavirus pandemic, but that does not stop 20-time major singles champion Roger Federer reaching out to his legion of fans with a bit of friendly advice on how to improve their game while stuck at home."
20,/news/2020-04-08/salisbury-councillor-targeted-in-racist-coronavirus-attack/12133078,South Australian councillor spat at in racist COVID-19 attack,A South Australian councillor says she was spat at during a coronavirus-related racist attack as she went to pick up groceries last week.
21,/news/2020-04-08/george-pell-accuser-witness-j-reacts-to-high-court-judgment/12130684,'My journey has been long and I am relieved it is over': George Pell's accuser reacts to cardinal's acquittal,"The former choirboy who accused George Pell of abusing him in the 1990s says he is OK, insisting he is not defined by the case and expressing relief that the High Court's unanimous judgment has brought the process to an end."
22,/news/2020-04-08/women-in-agriculture-show-girls-make-great-farmers/12130138,Father stunned by response after asking for help convincing his daughter that girls are farmers too,Western Australian farmer Ty Fulwood was saddened by the fact that one of his daughters said she wasn't thinking of a future on the land because she was a girl. So he put a call out on Twitter asking for help to change her mind and was stunned by the response.
23,/news/2020-04-08/coronavirus-mail-in-ballots-could-give-trump-election-advantage/12132302,Analysis: One US state just gave us a preview of how Trump could get an advantage in November,"Voters in Wisconsin braved the threat of coronavirus to head to the polls. Federal politicians watched with earnest, gearing up for their own fight about voting rights before November. "
24,/news/2020-04-08/coronavirus-took-over-us-2020-election/12121860,The one big new issue and four other things you missed in US politics,
25,/news/2020-04-08/victorian-magistrate-rodney-higgins-cleared-of-wrongdoing/12133582,Victorian magistrate cleared of wrongdoing over relationship with court clerk,An investigation clears Rodney Higgins of wrongdoing after he was accused by the Shadow Attorney General of lacking judicial independence during his relationship with a young court clerk.
26,/news/2020-04-08/cyclone-harold-batters-vanuatu-heads-for-fiji/12131814,Vanuatu faces 12-month recovery as Cyclone Harold heads for Fiji,"Disaster officials in the small Pacific nation of Vanuatu work around the clock to assess the damage that a category five cyclone caused to remote islands, as Cyclone Harold heads for Fiji. "
27,/news/2020-04-08/jobkeeper-coronavirus-legislation-passes-parliament/12132458,Massive JobKeeper package passes Parliament after Labor amendments fail,The Government's $130 billion package to keep people employed during the coronavirus pandemic passes the Senate after Labor's attempts to broaden its reach fail.
28,/news/2020-04-08/coronavirus-live-updates-covid-19-latest-news-australia-deaths/12131024,Live: Frydenberg lauds 'biggest economic lifeline' in Australia's history but 1.1 million casuals miss out,Federal Treasurer Josh Frydenberg says the 1.1 million casual workers who will miss out on the JobKeeper payments will still have the safety net of the JobSeeker coronavirus supplement to fall back on. Follow live. Follow live.
29,/news/2020-04-08/coronavirus-data-to-dictate-next-stage-of-australian-response/12132516,Experts set to plan Australia's 'way out' of coronavirus crisis within weeks,"As the country enters its fourth week of physical-distancing measures — resulting in a gradual flattening of the curve — health experts begin contemplating the ""next phase"" of Australia's response to the coronavirus pandemic."
30,/news/2020-04-08/coronavirus-abf-reveal-late-night-phone-call-about-ruby-princess/12134870,Border Force received concerned phone call hours before Ruby Princess was due to dock,The Australian Border Force confirms it received a phone call from the NSW Port Authority over fears for the health of passengers on the Ruby Princess hours before the cruise ship docked in Sydney.
31,/news/2020-03-17/coronavirus-cases-data-reveals-how-covid-19-spreads-in-australia/12060704,Charting the coronavirus spread: Growth rate of new cases shows signs of slowdown,Latest figures show that the growth rate of total confirmed COVID-19 cases has fallen significantly from a peak in mid-March.
32,/news/2020-04-08/coronavirus-masks-greg-hunt-press-conference/12133106,Here's what we learned from the Health Minister's latest press conference,"Tens of millions of medical masks have entered Australia in recent days, testing for healthcare workers will be expanded, and Australians are being reminded not to neglect their health amid the coronavirus crisis."
33,/news/health/2020-04-08/coronavirus-vaccine-explainer/12132414,We've been told social distancing restrictions will remain until a vaccine. Do we know when that will be?,"The New South Wales Premier says social distancing restrictions will be in place ""until a vaccine is found"". But what exactly goes into developing a vaccine for a new disease? "
34,/news/2020-04-08/wuhan-flight-lands-sydney-medical-equipment-coronavirus-covid19/12135016,Wuhan freight flight lands in Australia with tonnes of medical equipment,"A cargo plane from the city where coronavirus first appeared has landed in Sydney carrying 90 tonnes of masks, gowns and ventilators."
35,/news/2020-04-08/man-coma-with-coronavirus-after-hotel-quarantine-at-crown-perth/12133386,Kenny Watson is fighting for his life after his wife tried for hours to get help in hotel quarantine,A 70-year-old man is in intensive care after his wife's pleas for medical help when he fell ill in hotel quarantine in Perth were unanswered for hours.
36,/news/2020-04-08/india-plans-to-convert-trains-into-hospitals-amid-coronavirus/12126104,They were under lockdown but held an event anyway. Now there are COVID-19 cases all over India,"Empty sport stadiums and train carriages in India are being converted into quarantine centres and makeshift hospitals, as the country prepares for the possibility of hundreds of thousands of people becoming infected with coronavirus."
37,/news/2020-04-08/william-tyrrell-detective-gary-jubelin-sentenced/12133594,Tyrrell detective sentenced over illegal recordings of person of interest,"Former NSW detective Gary Jubelin is fined $2,500 for each of his four counts in relation to recording person of interest Paul Savage on a mobile phone in 2017 and 2018."
38,/news/2020-04-08/gp-office-manager-who-became-sanitiser-supplier-to-thousands/12128906,Meet the frustrated GP office managers who took the sanitiser shortage into their own hands,"In two months, Anna Davidson has gone from being a frustrated GP office manager who couldn't get her hands on any sanitiser, to the mastermind behind a nationwide supply of the product."
39,/news/2020-04-08/coronavirus-nsw-family-in-quarantine-hotel-tests-positive/12131664,"Screams, cheers as first hotel quarantine travellers emerge after two weeks stuck in rooms","The first international travellers to be quarantined in Sydney's Swissotel are released after 14 days in their rooms, but 150m away at the Hilton, a family of seven are taken to hospital with coronavirus symptoms."
40,/news/2020-04-08/working-from-home-coronavirus-shutdowns-tax-time-deductions/12132712,Australians working from home could be worse off using 80c per hour tax 'shortcut',"Those who have been working from home due to coronavirus are being warned to be cautious about using a new ""shortcut"" to do their tax return as it could result in lower deductions."
41,/news/2020-04-08/george-pell-accuser-witness-j-reacts-to-high-court-judgment/12130684,'My journey has been long and I am relieved it is over': George Pell's accuser reacts to cardinal's acquittal,"The former choirboy who accused George Pell of abusing him in the 1990s says he is OK, insisting he is not defined by the case and expressing relief that the High Court's unanimous judgment has brought the process to an end."
42,"/news/2020-04-08/coronavirus-could-cause-240,000-deaths-in-indonesia/12131778",Opinion: The Indonesian Government has a mess on its hands — one largely of its own making,"Almost no-one thinks Indonesia is handling coronavirus well and many experts fear the country is now on the brink of a health disaster, write Tim Lindsey and Tim Mann."
43,/news/2020-04-08/nsw-coronavirus-restrictions-could-be-relaxed-next-month/12130644,NSW Premier says some coronavirus restrictions could be eased next month,Gladys Berejiklian says some of the state's strict social-distancing rules could be relaxed as early as May as the number of new coronavirus cases continues to stabilise.
44,/news/2020-04-08/wa-police-rescue-boy-trapped-in-burning-south-hedland-home/12134542,"'Liam, where are you?': Dramatic footage shows police rush into burning house to save 8yo boy","WA Police officers can be seen pulling a limp, eight-year-old boy from a burning home in the Pilbara, but the child makes a full recovery."
45,/news/2020-04-08/pink-supermoon-to-break-coronavirus-monotony/12133320,Pink supermoon just what the coronavirus lockdown doctor ordered,"A so-called pink supermoon will be in southern hemisphere skies tonight, right in time to break that lockdown monotony and give you an excuse to step outside — at a socially safe distance, of course."
46,/news/2020-04-08/coronavirus-travel-cancellations-gym-membership-refunds/12132710,Had your holiday cancelled or 'freeze' fees added to your gym membership? Here's what to do,The consumer watchdog's been inundated with complaints from people about everything from flight cancellations to new fees being charged by gyms and supermarket price hikes. We take a look at the latest advice and how it might affect you.
47,/news/2020-04-08/coronavirus-roger-federer-gives-tennis-lesson-on-social-media/12133464,Roger Federer gives social media tennis lesson while self-isolating during coronavirus pandemic,"Professional tennis is on hold because of the coronavirus pandemic, but that does not stop 20-time major singles champion Roger Federer reaching out to his legion of fans with a bit of friendly advice on how to improve their game while stuck at home."
48,/triplej/programs/hack/coronavirus-covid19-how-australia-is-paying-for-welfare/12133292,How come Australia suddenly has billions of dollars to pay for welfare?,"If you're in your 20s, paying off the national debt incurred through coronavirus welfare could define a large part of your life. Or it may not. The pandemic is overturning long-standing economic theories, including the idea that responsible government means reducing the national debt."
49,/news/2020-04-08/women-in-agriculture-show-girls-make-great-farmers/12130138,Father stunned by response after asking for help convincing his daughter that girls are farmers too,Western Australian farmer Ty Fulwood was saddened by the fact that one of his daughters said she wasn't thinking of a future on the land because she was a girl. So he put a call out on Twitter asking for help to change her mind and was stunned by the response.
50,/news/2020-04-08/what-do-you-do-if-someone-shows-coronavirus-symptoms-at-work/12130520,The seven steps every workplace should follow if someone shows symptoms for coronavirus,The Prime Minister says he wants everyone to follow these seven steps if someone at work is worried they have COVID-19.
51,/news/2020-04-08/victorian-magistrate-rodney-higgins-cleared-of-wrongdoing/12133582,Victorian magistrate cleared of wrongdoing over relationship with court clerk,An investigation clears Rodney Higgins of wrongdoing after he was accused by the Shadow Attorney General of lacking judicial independence during his relationship with a young court clerk.
52,/news/2020-04-08/cyclone-harold-batters-vanuatu-heads-for-fiji/12131814,Vanuatu faces 12-month recovery as Cyclone Harold heads for Fiji,"Disaster officials in the small Pacific nation of Vanuatu work around the clock to assess the damage that a category five cyclone caused to remote islands, as Cyclone Harold heads for Fiji. "
53,/news/2020-04-08/jobkeeper-coronavirus-legislation-passes-parliament/12132458,Massive JobKeeper package passes Parliament after Labor amendments fail,The Government's $130 billion package to keep people employed during the coronavirus pandemic passes the Senate after Labor's attempts to broaden its reach fail.
54,/news/2020-04-08/coronavirus-live-updates-covid-19-latest-news-australia-deaths/12131024,Live: Frydenberg lauds 'biggest economic lifeline' in Australia's history but 1.1 million casuals miss out,Federal Treasurer Josh Frydenberg says the 1.1 million casual workers who will miss out on the JobKeeper payments will still have the safety net of the JobSeeker coronavirus supplement to fall back on. Follow live. Follow live.
55,/news/2020-04-08/coronavirus-data-to-dictate-next-stage-of-australian-response/12132516,Experts set to plan Australia's 'way out' of coronavirus crisis within weeks,"As the country enters its fourth week of physical-distancing measures — resulting in a gradual flattening of the curve — health experts begin contemplating the ""next phase"" of Australia's response to the coronavirus pandemic."
56,/news/2020-03-17/coronavirus-cases-data-reveals-how-covid-19-spreads-in-australia/12060704,Charting the coronavirus spread: Growth rate of new cases shows signs of slowdown,Latest figures show that the growth rate of total confirmed COVID-19 cases has fallen significantly from a peak in mid-March.
57,/news/2020-04-08/coronavirus-update-victoria-records-12th-covid19-death/12130724,Premier says coronavirus restrictions could be in place for 'absolutely months' as toll rises,"Daniel Andrews calls for people to continue staying home over the Easter long weekend while warning Victorians restrictions to slow the spread of COVID-19 could be around for the ""long haul""."
58,/news/2020-04-08/coronavirus-abf-reveal-late-night-phone-call-about-ruby-princess/12134870,Border Force received concerned phone call hours before Ruby Princess was due to dock,The Australian Border Force confirms it received a phone call from the NSW Port Authority over fears for the health of passengers on the Ruby Princess hours before the cruise ship docked in Sydney.
59,/news/2020-04-08/wuhan-flight-lands-sydney-medical-equipment-coronavirus-covid19/12135016,Wuhan freight flight lands in Australia with tonnes of medical equipment,"A cargo plane from the city where coronavirus first appeared has landed in Sydney carrying 90 tonnes of masks, gowns and ventilators."
60,/news/2020-04-08/coronavirus-masks-greg-hunt-press-conference/12133106,Here's what we learned from the Health Minister's latest press conference,"Tens of millions of medical masks have entered Australia in recent days, testing for healthcare workers will be expanded, and Australians are being reminded not to neglect their health amid the coronavirus crisis."
61,/news/health/2020-04-08/coronavirus-vaccine-explainer/12132414,We've been told social distancing restrictions will remain until a vaccine. Do we know when that will be?,"The New South Wales Premier says social distancing restrictions will be in place ""until a vaccine is found"". But what exactly goes into developing a vaccine for a new disease? "
62,/news/2020-04-08/victorian-magistrate-rodney-higgins-cleared-of-wrongdoing/12133582,Victorian magistrate cleared of wrongdoing over relationship with court clerk,An investigation clears Rodney Higgins of wrongdoing after he was accused by the Shadow Attorney General of lacking judicial independence during his relationship with a young court clerk.
63,/news/2020-04-08/india-plans-to-convert-trains-into-hospitals-amid-coronavirus/12126104,They were under lockdown but held an event anyway. Now there are COVID-19 cases all over India,"Empty sport stadiums and train carriages in India are being converted into quarantine centres and makeshift hospitals, as the country prepares for the possibility of hundreds of thousands of people becoming infected with coronavirus."
64,/news/2020-04-08/man-coma-with-coronavirus-after-hotel-quarantine-at-crown-perth/12133386,Kenny Watson is fighting for his life after his wife tried for hours to get help in hotel quarantine,A 70-year-old man is in intensive care after his wife's pleas for medical help when he fell ill in hotel quarantine in Perth were unanswered for hours.
65,/news/2020-04-08/wa-police-rescue-boy-trapped-in-burning-south-hedland-home/12134542,"'Liam, where are you?': Dramatic footage shows police rush into burning house to save 8yo boy","WA Police officers can be seen pulling a limp, eight-year-old boy from a burning home in the Pilbara, but the child makes a full recovery."
66,/news/2020-04-08/george-pell-accuser-witness-j-reacts-to-high-court-judgment/12130684,'My journey has been long and I am relieved it is over': George Pell's accuser reacts to cardinal's acquittal,"The former choirboy who accused George Pell of abusing him in the 1990s says he is OK, insisting he is not defined by the case and expressing relief that the High Court's unanimous judgment has brought the process to an end."
67,"/news/2020-04-08/coronavirus-could-cause-240,000-deaths-in-indonesia/12131778",Opinion: The Indonesian Government has a mess on its hands — one largely of its own making,"Almost no-one thinks Indonesia is handling coronavirus well and many experts fear the country is now on the brink of a health disaster, write Tim Lindsey and Tim Mann."
68,/news/2020-04-08/working-from-home-coronavirus-shutdowns-tax-time-deductions/12132712,Australians working from home could be worse off using 80c per hour tax 'shortcut',"Those who have been working from home due to coronavirus are being warned to be cautious about using a new ""shortcut"" to do their tax return as it could result in lower deductions."
69,/news/2020-04-08/william-tyrrell-detective-gary-jubelin-sentenced/12133594,Tyrrell detective sentenced over illegal recordings of person of interest,"Former NSW detective Gary Jubelin is fined $2,500 for each of his four counts in relation to recording person of interest Paul Savage on a mobile phone in 2017 and 2018."
70,/news/2020-04-08/coronavirus-travel-cancellations-gym-membership-refunds/12132710,Had your holiday cancelled or 'freeze' fees added to your gym membership? Here's what to do,The consumer watchdog's been inundated with complaints from people about everything from flight cancellations to new fees being charged by gyms and supermarket price hikes. We take a look at the latest advice and how it might affect you.
71,/triplej/programs/hack/coronavirus-covid19-how-australia-is-paying-for-welfare/12133292,How come Australia suddenly has billions of dollars to pay for welfare?,"If you're in your 20s, paying off the national debt incurred through coronavirus welfare could define a large part of your life. Or it may not. The pandemic is overturning long-standing economic theories, including the idea that responsible government means reducing the national debt."
72,/news/2020-04-08/coronavirus-jk-rowling-breathing-technique-debunked/12134128,Analysis: JK Rowling's coronavirus 'cure' has been debunked — it could make things worse,"Harry Potter author JK Rowling says a breathing technique has helped her coronavirus-like respiratory symptoms, a claim that has been widely reported and shared on social media. But does it stand up?"
73,/news/2020-04-08/gp-office-manager-who-became-sanitiser-supplier-to-thousands/12128906,Meet the frustrated GP office managers who took the sanitiser shortage into their own hands,"In two months, Anna Davidson has gone from being a frustrated GP office manager who couldn't get her hands on any sanitiser, to the mastermind behind a nationwide supply of the product."
74,/news/2020-04-08/pink-supermoon-to-break-coronavirus-monotony/12133320,Pink supermoon just what the coronavirus lockdown doctor ordered,"A so-called pink supermoon will be in southern hemisphere skies tonight, right in time to break that lockdown monotony and give you an excuse to step outside — at a socially safe distance, of course."
75,/news/2020-04-08/coronavirus-mail-in-ballots-could-give-trump-election-advantage/12132302,Analysis: One US state just gave us a preview of how Trump could get an advantage in November,"Voters in Wisconsin braved the threat of coronavirus to head to the polls. Federal politicians watched with earnest, gearing up for their own fight about voting rights before November. "
76,/news/2020-04-08/coronavirus-took-over-us-2020-election/12121860,The one big new issue and four other things you missed in US politics,
77,/news/2020-04-08/women-in-agriculture-show-girls-make-great-farmers/12130138,Father stunned by response after asking for help convincing his daughter that girls are farmers too,Western Australian farmer Ty Fulwood was saddened by the fact that one of his daughters said she wasn't thinking of a future on the land because she was a girl. So he put a call out on Twitter asking for help to change her mind and was stunned by the response.
78,/news/2020-04-08/coronavirus-update-australia-johnson-trump-jobkeeper-death-toll/12131018,'The needs are increasingly urgent': Twitter CEO donates almost a third of wealth to fight COVID-19,"Twitter founder Jack Dorsey donates $US1 billion to fund global coronavirus relief and other endeavours, Donald Trump threatens to withhold funding for the World Health Organisation, and folk singer John Prine dies from coronavirus complications."
79,/news/2020-04-08/salisbury-councillor-targeted-in-racist-coronavirus-attack/12133078,South Australian councillor spat at in racist COVID-19 attack,A South Australian councillor says she was spat at during a coronavirus-related racist attack as she went to pick up groceries last week.
80,/news/2020-04-08/cyclone-harold-batters-vanuatu-heads-for-fiji/12131814,Vanuatu faces 12-month recovery as Cyclone Harold heads for Fiji,"Disaster officials in the small Pacific nation of Vanuatu work around the clock to assess the damage that a category five cyclone caused to remote islands, as Cyclone Harold heads for Fiji. "
81,/news/2020-04-08/jobkeeper-coronavirus-legislation-passes-parliament/12132458,Massive JobKeeper package passes Parliament after Labor amendments fail,The Government's $130 billion package to keep people employed during the coronavirus pandemic passes the Senate after Labor's attempts to broaden its reach fail.
82,/news/2020-04-08/coronavirus-live-updates-covid-19-latest-news-australia-deaths/12131024,Live: Frydenberg lauds 'biggest economic lifeline' in Australia's history but 1.1 million casuals miss out,Federal Treasurer Josh Frydenberg says the 1.1 million casual workers who will miss out on the JobKeeper payments will still have the safety net of the JobSeeker coronavirus supplement to fall back on. Follow live. Follow live.
83,/news/2020-04-08/coronavirus-queensland/12120358,"Worst-case coronavirus modelling predicted 30,000 Queensland deaths","Queensland Premier Annastacia Palaszczuk reveals modelling had predicted at least 30,000 deaths across the state if nothing was done to contain coronavirus."
84,/news/2020-04-08/coronavirus-data-to-dictate-next-stage-of-australian-response/12132516,Experts set to plan Australia's 'way out' of coronavirus crisis within weeks,"As the country enters its fourth week of physical-distancing measures — resulting in a gradual flattening of the curve — health experts begin contemplating the ""next phase"" of Australia's response to the coronavirus pandemic."
85,/news/2020-03-17/coronavirus-cases-data-reveals-how-covid-19-spreads-in-australia/12060704,Charting the coronavirus spread: Growth rate of new cases shows signs of slowdown,Latest figures show that the growth rate of total confirmed COVID-19 cases has fallen significantly from a peak in mid-March.
86,/news/2020-04-08/coronavirus-abf-reveal-late-night-phone-call-about-ruby-princess/12134870,Border Force received concerned phone call hours before Ruby Princess was due to dock,The Australian Border Force confirms it received a phone call from the NSW Port Authority over fears for the health of passengers on the Ruby Princess hours before the cruise ship docked in Sydney.
87,/news/2020-04-08/wuhan-flight-lands-sydney-medical-equipment-coronavirus-covid19/12135016,Wuhan freight flight lands in Australia with tonnes of medical equipment,"A cargo plane from the city where coronavirus first appeared has landed in Sydney carrying 90 tonnes of masks, gowns and ventilators."
88,/news/2020-04-08/coronavirus-masks-greg-hunt-press-conference/12133106,Here's what we learned from the Health Minister's latest press conference,"Tens of millions of medical masks have entered Australia in recent days, testing for healthcare workers will be expanded, and Australians are being reminded not to neglect their health amid the coronavirus crisis."
89,/news/2020-04-08/man-coma-with-coronavirus-after-hotel-quarantine-at-crown-perth/12133386,Kenny Watson is fighting for his life after his wife tried for hours to get help in hotel quarantine,A 70-year-old man is in intensive care after his wife's pleas for medical help when he fell ill in hotel quarantine in Perth were unanswered for hours.
90,/news/health/2020-04-08/coronavirus-vaccine-explainer/12132414,We've been told social distancing restrictions will remain until a vaccine. Do we know when that will be?,"The New South Wales Premier says social distancing restrictions will be in place ""until a vaccine is found"". But what exactly goes into developing a vaccine for a new disease? "
91,/news/2020-04-08/india-plans-to-convert-trains-into-hospitals-amid-coronavirus/12126104,They were under lockdown but held an event anyway. Now there are COVID-19 cases all over India,"Empty sport stadiums and train carriages in India are being converted into quarantine centres and makeshift hospitals, as the country prepares for the possibility of hundreds of thousands of people becoming infected with coronavirus."
92,/news/2020-04-08/wa-police-rescue-boy-trapped-in-burning-south-hedland-home/12134542,"'Liam, where are you?': Dramatic footage shows police rush into burning house to save 8yo boy","WA Police officers can be seen pulling a limp, eight-year-old boy from a burning home in the Pilbara, but the child makes a full recovery."
93,/news/2020-04-08/working-from-home-coronavirus-shutdowns-tax-time-deductions/12132712,Australians working from home could be worse off using 80c per hour tax 'shortcut',"Those who have been working from home due to coronavirus are being warned to be cautious about using a new ""shortcut"" to do their tax return as it could result in lower deductions."
94,/news/2020-04-08/australias-largest-military-exercise-cancelled-coronavirus/12134068,War games cancelled as army steps up its coronavirus offensive,Australia's biggest military exercise for the year is called off due to the coronavirus crisis.
95,/news/2020-04-08/group-fined-for-sunshine-coast-party-amid-coronavirus/12132084,"Partygoers who pleaded ignorance fined more than $6,000 for breaching coronavirus rules","Five people on Queensland's Sunshine Coast claim to have ""no knowledge of the pandemic"", but police say the fines should serve as a warning to others to respect social distancing measures introduced to combat coronavirus. "
96,"/news/2020-04-08/coronavirus-could-cause-240,000-deaths-in-indonesia/12131778",Opinion: The Indonesian Government has a mess on its hands — one largely of its own making,"Almost no-one thinks Indonesia is handling coronavirus well and many experts fear the country is now on the brink of a health disaster, write Tim Lindsey and Tim Mann."
97,/news/2020-04-08/coronavirus-travel-cancellations-gym-membership-refunds/12132710,Had your holiday cancelled or 'freeze' fees added to your gym membership? Here's what to do,The consumer watchdog's been inundated with complaints from people about everything from flight cancellations to new fees being charged by gyms and supermarket price hikes. We take a look at the latest advice and how it might affect you.
98,/news/2020-04-08/coronavirus-update-australia-johnson-trump-jobkeeper-death-toll/12131018,'The needs are increasingly urgent': Twitter CEO donates almost a third of wealth to fight COVID-19,"Twitter founder Jack Dorsey donates $US1 billion to fund global coronavirus relief and other endeavours, Donald Trump threatens to withhold funding for the World Health Organisation, and folk singer John Prine dies from coronavirus complications."
99,/news/2020-04-08/gp-office-manager-who-became-sanitiser-supplier-to-thousands/12128906,Meet the frustrated GP office managers who took the sanitiser shortage into their own hands,"In two months, Anna Davidson has gone from being a frustrated GP office manager who couldn't get her hands on any sanitiser, to the mastermind behind a nationwide supply of the product."
100,/news/2020-04-08/pink-supermoon-to-break-coronavirus-monotony/12133320,Pink supermoon just what the coronavirus lockdown doctor ordered,"A so-called pink supermoon will be in southern hemisphere skies tonight, right in time to break that lockdown monotony and give you an excuse to step outside — at a socially safe distance, of course."
101,/triplej/programs/hack/coronavirus-covid19-how-australia-is-paying-for-welfare/12133292,How come Australia suddenly has billions of dollars to pay for welfare?,"If you're in your 20s, paying off the national debt incurred through coronavirus welfare could define a large part of your life. Or it may not. The pandemic is overturning long-standing economic theories, including the idea that responsible government means reducing the national debt."
102,/news/2020-04-08/coronavirus-roger-federer-gives-tennis-lesson-on-social-media/12133464,Roger Federer gives social media tennis lesson while self-isolating during coronavirus pandemic,"Professional tennis is on hold because of the coronavirus pandemic, but that does not stop 20-time major singles champion Roger Federer reaching out to his legion of fans with a bit of friendly advice on how to improve their game while stuck at home."
